"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Argentina",5384,6092,6247,6633,8348,11639,10895,14368.9427373623,19502
"Australia",5558,8305,8851,9828,12795,19166,24927,36603.0449959447,48357
"Austria",4285,5244,5367,6311,8054,15537,23514,34796.259482554,41294
"Belgium",5598,6478,7438,7272,10010,16914,23873,33719.7698385542,38569
"Bulgaria",NA,1812,1949,2683,3424,7608,9924,8410.7949775813,16373
"Bolivia (Plurinational State of)",1446,1714,2144,2667,2954,3469,3476,4173.54945562718,6200
"Brazil",1007,990,1298,1610,2675,4635,7862,9834.4244366632,15826
"Canada",3779,6481,6918,8557,13072,19207,28025,36942.5622942857,43619
"Switzerland",5632.35874744704,8048.35153312609,8385.2867756263,9802.37306877984,13999.4878426012,23478.991767023,29416.75224461,43251.1037536027,59307
"Chile",3304,4485,4903,5177,6341,8195,8024,15211.6232956044,21589
"Colombia",1116,1242,2000,3021,3783,4932,6809,8496.79186144236,13218
"Costa Rica",NA,NA,2654,2810,3921,5984,6918,9319.76618884734,13677
"Czechoslovakia",NA,3174,4154,NA,6252,10307,13337,15378.2064270398,27041
"Cuba",NA,2069,2560,2069,2638,2976,5120,4009.3398762914,7889
"Germany",4281,5337,5630,8612,9240,17277,24133,33367.2838090657,44293
"Denmark",4415,5906,6978,8155,11788,20221,27710,39021.1775521356,44635
"Ecuador",NA,1379,1765,2050,3349,4535,6433,6908.24297556069,10905
"Spain",2589,2823,3725,3170,4442,9511,14690,26994.8601202917,31847
"Finland",2378,3038,3711,5133,8284,15266,23148,32689.7688915662,36836
"France",4095,4726,6641,6443,9881,18187,24755,33409.6814829309,36827
"United Kingdom",6996,7718,8199,10928,12541,17162,22579,31946.0363394414,36941
"Greece",2149,2592,3411,3543,4007,9900,14850,20965.3318066981,22442
"Guatemala",NA,NA,2327,4371,3170,4653,5292,5860.2718525717,7138
"Honduras",NA,NA,2042,1782,1986,2391,2982,3335.71536975409,4706
"Hungary",NA,3188,3633,4186,4894,8015,10452,13129.2731078331,22788
"Indonesia",1097,1264,1497,1766,1537,1882,3143,5384.38666045488,10484
"India",920,1111,1113,1093,1078,1384,1720,2753.08550705882,5794
"Ireland",NA,NA,4101,4865,6248,9881,14834,38806.5013574153,54278
"Italy",3107,3829,4580,5099,7453,15492,22469,32716.9800507895,33118
"Japan",2021.82542721,2316.97590609,3414.35396529,4882.39852782,4417,15484,24437,33210.8078159904,37031
"Republic of Korea",NA,NA,1469.8881628887,1975.23613458624,1411.33360203502,2974.80727329566,8859.35533634623,23108.0175367617,35269
"Sri Lanka",1729,1926,1892,1994,2131,2389,3484,5841.0941387742,10763
"Mexico",1757,2240,2640,2560,4060,6873,9785,12613.3960519094,16096
"Malaysia",NA,1073.76536312849,1732.92737430168,2037,2327,3314,6626,13474.7014620996,22432
"Nicaragua",NA,NA,2316,2179,3288,4463,3107,2858.5269124027,4866
"Netherlands",5212,6030,8019,7701,11678,19075,24361,37899.9503776595,44869
"Norway",3052,3826,4733,6437,10044,15983,27608,54039.9607277985,82713
"New Zealand",5805,8474,8435,10042,13908,17835,21780,26823.0174593025,33696
"Panama",NA,2837,2514,2651,2766,5131,7404,9898.78778060818,20723
"Peru",838,1564,2455,3046,4309,6143,5844,6038.24442697661,11445
"Philippines",NA,1393,2109,2402,2165,2812,3135,4033.56089188223,7047
"Poland",2364,2694,NA,NA,4454,7058,9022,12732.1667641745,24177
"Portugal",1780,1957,2305,2574,3945,8724,13240,23372.0401422301,24915
"Romania",642,784,610,692,1419,3258,6260,7089.94612573642,19320
"Singapore",NA,2732,3255,NA,2946,6650,16611,37772.7596926971,65660
"El Salvador",NA,NA,1476,1773,2590,3488,3366,5403.7147358137,8109
"Former USSR",1651,2149,1776,3417,5281,8886,10692,8193.51577587947,18479
"Sweden",2927,4053,5488,7739,12060,20269,25805,34202.6042369012,43746
"Turkey",NA,NA,1199,2146,2754,4398,6958,11904.0081810757,19836
"Taiwan, Province of China",NA,1345,1959,1992,1895,4044,10779,26787.4456724356,41668
"Uruguay",4063,4500,4208,4983,8176,8030,8901,13050.0639035873,19244
"United States",7159.5064,9636.78272182369,11149.7720266213,12005.0951632151,17370,23958,33023,45886.470498289,52591
"Venezuela (Bolivarian Republic of)",2423,1674,2289,4769,10501,15289,13270,13992.6088079489,18802
"Former Yugoslavia",NA,1551,1758,NA,2721,6288,10009,8472.58915291704,14971
"South Africa",2061,1835,2171,3419,4511,6448,6385,7582.77814341639,12246
