"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Albania",NA,874,956,1088,1392.164,2156.612,2956.697,3164.04884484418,3034.74202894797
"Argentina",NA,6836,10358,14169,18927.821,23962.313,30672,37336.1519298981,43475.281350791
"Australia",3460,4375,5943,7042,9277.087,12660.16,15695,18902.4342457775,23686.060570763
"Austria",5680,6614,6582,6705,6946.885,7467.086,7559.776,8058.62939161328,8693.46943593199
"Belgium",6439,7498,7779,8346,8868.475,9637.8,9858.2,10253.2360091317,11276.3802378033
"Bulgaria",NA,4520,5590,6666,7499.4,8489.574,8943.573,8334.86280395699,7322.68184721669
"Bolivia (Plurinational State of)",NA,1837,2263,2690,3074.311,4346.218,5934.935,8195.101,10800.882
"Brazil",15980,22216,30332,41114,61773.546,95684.297,137382,176369.373432743,206666.639627151
"Canada",5169,7188,9549,11688,16050.356,21749.986,25941.6,30822.9052620151,35882.7818037058
"Switzerland",3114,3735,3910,4226,4980,6267,6563.77,7313.80953909698,8431.75990357499
"Chile",2783,3317,3970,5056,6743.269,9368.558,12068,15284.7899688899,17899.3378924391
"China",390000,423000,480425,518770,608655,818315,1051040,1258400.92060035,1364827.30681431
"Colombia",NA,4890,7061,9174,13588.405,21429.658,29748,38916.7845274725,46553.1507985348
"Costa Rica",NA,363,460,620,1031.782,1735.523,2643.808,3887.59335536961,4820.35898959802
"Czechoslovakia",NA,12984,13537,14713,13093,14319,15455,15670,15908
"Cuba",NA,2219,3432,4566,6381,8543,10084,11147,11214
"Germany",50363,62884,63166,69835,70195.612,77783.164,77684.907,82157.0313865779,82914.9785215009
"Dominica",NA,15,23,37,57,70,73,71,74
"Denmark",2397,2882,3425,3832,4439,4928.757,5113.691,5339.63157969079,5683.49958301042
"Ecuador",NA,1617,1865,2466,3842.399,5939.246,9061.664,12445.838,15868.396
"Spain",18157,19858,22292,25757,29318.745,33876.479,38534.853,41072.4630307244,47022.5316472041
"Finland",2483,2929,3304,3698,4234.9,4606.307,4901.783,5176.20901902944,5479.53104944418
"France",40098,41224,40610,41000,44218,51918,56490,60819.1845366366,66610.7174131267
"United Kingdom",39221,44916,45059,48226,50946,55632,56620.24,59145.2954580441,65395.7142157476
"Greece",4716,5320,5958,7280,7965.538,8792.806,9923.253,10734.606580337,10749.5822484405
"Guatemala",NA,1441,1682,2200,3487,5264,7581,11725.6811846577,16340.3168681122
"China, Hong Kong SAR",NA,NA,628,1547,2455.39971365298,3822.05985925756,5250.12043916991,6590.29532332125,7177.4521474193
"Honduras",NA,619,850,1150,1662.219,2760.666,4079.44,6367.242,8660.816
"Haiti",NA,1809,2268,2751,3365,4541,6076,8279,10254
"Hungary",NA,7644,8299,9287,9825,10337.004,10648.713,10208.894156571,9841.02599372431
"Indonesia",42710,50034,58135,74376,88765.9282231846,117338.245127315,164060.812,211407.564342772,252785.528309678
"India",282052,302100,319900,386800,393000,541000,755000,1007310.21133034,1252951.77493155
"Ireland",4560,4385,2985,2958,2916.133,2950.1,3540,3798.92205413615,4694.23112988758
"Italy",32689,36572,39165,44341,48633,53661.1,56731.215,56965.8474148563,60755.9003460935
