"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0.000512215270039936,0.000541648517052333,0.000545944281232854,0.0013125529512763,0.0014461912214756,0.00139781227335334,0.00139781227335334,0.00139781227335334,0.00139781227335334
"Afghanistan",0.00286107649685136,0.00321662870445626,0.00371109024930705,0.00420985777901895,0.00490269557499896,0.00559331231179519,0.00566225180720553,0.00549559936854821,0.00560475246746413
"Angola",0.00412907107487176,0.00449405525243281,0.00512499673686287,0.00639602378516924,0.0102893847722622,0.0121392497012557,0.012169185153119,0.0118219335138553,0.0209389088949099
"Anguilla",0.000326682347804308,0.00030383505509235,0.000294724333798513,0.000368386157788336,0.000559813342988491,0.000673167058266699,0.000675425922963768,0.000650427653454244,0.000629621441476047
"Albania",0.0190854752151182,0.0208504421693482,0.0215507621012096,0.022390450393705,0.0263384096704575,0.0360087757188903,0.0427978279791316,0.0424197296878057,0.0420563735676055
"Aland",0,0,0,0,0,0,0,0,0
"Andorra",0.0162051634863019,0.0158925088122487,0.0122853490523994,0.0092658082023263,0.0124486602842808,0.0127817094326019,0.0131224671378732,0.013194178044796,0.0135042766109109
"United Arab Emirates",9.17127218101968e-06,8.84198758244993e-06,8.33115726433846e-06,7.79291097542642e-06,7.11310549896428e-06,8.75114473913032e-06,1.97299245244115e-05,5.89319226567383e-05,3.45568214738345e-05
"Argentina",0.00181119597649045,0.00416112014013401,0.00922035525103487,0.0125993159306497,0.0108381351003948,0.0150359592305607,0.0156197801528657,0.0165580738796985,0.0263340520894268
"Armenia",0.00137704357957073,0.0014556702164135,0.00151208493207378,0.00183359531939249,0.00184474226094048,0.00197590757642711,0.00196861973885321,0.00179613020037113,0.00170667726202877
"American Samoa",1.35168397719099e-05,1.50153709910228e-05,1.79026055775466e-05,2.0746545487782e-05,2.56100602200604e-05,2.3415243049385e-05,2.34152421398903e-05,2.86836730083451e-05,2.88827022814075e-05
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0.000898403261089697,0.00075743805973616,0.000552694418729516,0.000520494420925388,0.000533078678927268,0.000516810403496493,0.000607264415521058,0.000587894983254955,0.00011628853962975
"Australia",4.99735941508116e-05,0.000123300856229243,0.000247917554913469,0.00040377752580151,0.000640295015284468,0.00101372596752822,0.0011329146586756,0.00117470646528634,0.00119325756848584
"Austria",0.0631131864554332,0.0649475910997866,0.0568626438508568,0.050207720459021,0.0459991673396405,0.0427954640585178,0.0405358832253207,0.0380716895313713,0.0365481054341683
"Azerbaijan",0.00262734790677345,0.00291266519398677,0.00321875722330678,0.00360150298338026,0.00425049559881104,0.00481156759171803,0.00473376758033329,0.00431494458659064,0.00439648785166606
"Burundi",0.020939692039974,0.0225974670405883,0.0253031104118289,0.0305312884944108,0.0460885495481574,0.0657620416707633,0.0719629799919751,0.0748664538293858,0.0891637160607121
"Belgium",0.187763115790273,0.189923725179618,0.165022405088022,0.1409794909765,0.110312991513176,0.0950832667110103,0.0736878847316211,0.0875197120262566,0.0805615618324188
"Benin",0.0144789310490306,0.014813255007985,0.0188688173278041,0.0245483749195789,0.031776475546926,0.0409981625765246,0.0513381957907596,0.0769591197761802,0.0990645084253656
"Burkina Faso",0.0260287744526299,0.0276744771370592,0.0303298116921131,0.0353890520567782,0.0494268054436205,0.0563265702094515,0.0771913379979081,0.100892189790313,0.144931825974025
"Bangladesh",0.00212316235494273,0.00215112376933253,0.00218806293504939,0.00233795352918472,0.00241086327711385,0.00245101726778402,0.00250578208694318,0.0024039508023942,0.00232947199624075
"Bulgaria",0.0302514429104213,0.0331716792051789,0.0397044315256856,0.0524564314624201,0.0595188004480948,0.0608340361481297,0.0561951821842795,0.0515580989809641,0.0483977348876487
"Bahrain",0,0,0,0,0,0,0,0,0
"The Bahamas",2.64160740267758e-05,3.76872744948885e-05,6.00379797728429e-05,9.41389725276646e-05,0.000159298915389771,0.000202779941051439,0.000216432240712924,0.000264796077796123,0.000306305602479322
"Bosnia and Herzegovina",0.045052144577747,0.0511833620687906,0.0605292399312653,0.0713819998782128,0.0853054475079736,0.0909761684319085,0.0866124579409623,0.0738285534772212,0.0740491627290359
"Bajo Nuevo Bank (Petrel Is.)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",0.0159266461224224,0.0173286817722268,0.0186105639080179,0.0199528871797496,0.0208212032095417,0.0204106286045287,0.0201224623514073,0.0182639974063252,0.0163449332552033
"Belize",0.00183695827124184,0.00214490606556479,0.00266451547731501,0.00337227750876054,0.00461133764507725,0.00570228665597052,0.00757164857791257,0.0110419549663758,0.0129112511282129
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",0.00134107542460847,0.00135097508059848,0.00195049625621556,0.00218107380472055,0.00180940460029972,0.00240826544741066,0.0030863231704327,0.00441968090831554,0.00682750717443941
