,Volver a extraer 1895,1910,1925,1940,1955,1970,1985,2000,2015
Aruba,0,0,0,0,0,0,0,0,0
Afghanistan,0.02097536,0.036504995,0.033003788,0.029478638,0.024724896,0.021163604,0.02097536,0.020945932,0.020719649
Angola,0.020187248,0.021780801,0.021615506,0.020963992,0.018587698,0.018823476,0.020187248,0.021869784,0.023803808
Anguilla,0,0,0,0,0,0,0,0,0
Albania,0.358932683,0.328877969,0.337749096,0.342790753,0.31925004,0.307400958,0.358932683,0.369716613,0.362539405
Aland,0,0,0,0,0,0,0,0,0
Andorra,0.300599682,0.327779543,0.324633312,0.316694212,0.306096566,0.298997772,0.300599682,0.311342227,0.315636623
United Arab Emirates,0,0,0,0,0,0,0,0,0
Argentina,0.008515745,0.002371407,0.003333493,0.00456955,0.005953717,0.007097197,0.008515745,0.016346521,0.019870429
Armenia,0.118475994,0.170291095,0.170361471,0.153113081,0.140321524,0.120983205,0.118475994,0.115948189,0.087100316
American Samoa,0,0,0,0,0,0,0,0,0
Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashmore and Cartier Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Australia,0.003716083,0.000605917,0.000874661,0.001245539,0.001628938,0.002225305,0.003716083,0.006039725,0.009636467
Austria,0.420867017,0.298494353,0.326311957,0.360099295,0.382936152,0.397437253,0.420867017,0.434524131,0.452360473
Azerbaijan,0.055531654,0.054290423,0.052281169,0.050511417,0.055531893,0.056897537,0.055531654,0.053895691,0.052651697
Burundi,0.073962318,0.100839866,0.101769309,0.107570357,0.137860007,0.118030195,0.073962318,0.112775093,0.081358281
Belgium,0.16294969,0.064532231,0.067493789,0.070937003,0.135164469,0.156002613,0.16294969,0.158768277,0.160153755
Benin,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0
Bangladesh,0.255444178,0.335833621,0.335360478,0.300675945,0.278889988,0.26572163,0.255444178,0.280454411,0.296591421
Bulgaria,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0
The Bahamas,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0.285129614,0.34797979,0.347127037,0.331735025,0.287895817,0.271447057,0.285129614,0.388933835,0.393707987
Bajo Nuevo Bank (Petrel Is.),NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,0.100701634,0.100435233,0.098938509,0.096289647,0.097624752,0.099789513,0.100701634,0.103490943,0.107391828
Belize,0.027863659,0.013376097,0.014386691,0.016660929,0.020009604,0.023012153,0.027863659,0.048338576,0.080642146
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,0.022134995,0.016367208,0.014696498,0.014150415,0.024244881,0.023163926,0.022134995,0.022322275,0.024953611
Brazil,0.03925485,0.005153412,0.007900307,0.011623718,0.015361434,0.024723365,0.03925485,0.050622702,0.057817753
Barbados,0,0,0,0,0,0,0,0,0
Brunei,0.088009194,0.014366462,0.020638159,0.028917558,0.038232287,0.050811182,0.088009194,0.125399048,0.148621732
Bhutan,0.341575352,0.091843786,0.099078663,0.117904629,0.160060274,0.242198479,0.341575352,0.409800197,0.510004153
Botswana,0,0,0,0,0,0,0,0,0
Central African Republic,0.022199682,0.010816992,0.011351778,0.012859069,0.018111637,0.019968439,0.022199682,0.025057178,0.030414421
