"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0,0,0,0,0,0,0,0,0
"Afghanistan",0.719154863381064,0.72091319577975,0.722804835432774,0.722423706199978,0.716968281233644,0.711217678718634,0.703281657440917,0.695451410023959,0.687042218583685
"Angola",2.7518106990321,2.76148360145842,2.76252228700651,2.75631714539078,2.67698591777129,2.53735478150095,2.44975522728916,2.42565959857074,2.38645689282232
"Anguilla",0,0,0,0,0,0,0,0,0
"Albania",9.00375889758674,8.97681391969019,8.93663237046222,8.89179883684431,8.8451394061653,8.76956161674188,8.56707645679007,8.51841295860252,8.46447723009148
"Aland",0,0,0,0,0,0,0,0,0
"Andorra",4.30823749303818,4.48264701366425,4.58119188547134,4.60279824733734,4.60504333972931,4.59898662567139,4.59349844455719,4.57815387248993,4.5659423828125
"United Arab Emirates",0.10631443260564,0.10631443260564,0.10631443260564,0.10631443260564,0.10631443260564,0.10631443260564,0.10631443260564,0.10631443260564,0.10631443260564
"Argentina",0.888381910356356,0.8905721107845,0.904790413884988,0.920611888207754,0.899038332407558,0.899282420276228,1.02305936713616,0.87854425574518,0.926391748512657
"Armenia",2.57010394105544,2.58456380779927,2.60152530899415,2.61922459648206,2.63318539124269,2.64521451179798,2.64214623776766,2.61771902098106,2.51295185891482
"American Samoa",0,0,0,0,0,0,0,0,0
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0
"Australia",0.210522978370669,0.217891679028918,0.252710136945936,0.288359137394428,0.303541570267693,0.30900527662699,0.309807274061218,0.409295596169609,0.449412508700925
"Austria",4.57108731658604,4.40138838578684,3.92149395342821,3.58031406769386,3.36968324228357,3.17117698920461,2.84379855495615,2.50394241655102,2.02304226379746
"Azerbaijan",1.32354543229629,1.33286019625335,1.34655767905301,1.35871969523101,1.34189962765266,1.34124303131268,1.35587258441695,1.36714251822439,1.37358693480492
"Burundi",1.55067456645124,1.56717395256547,1.56512293044259,1.49681474531398,1.37730400176609,0.493950278443449,0.316507876795881,0.293731884483029,0.291032325257273
"Belgium",0.241909281128929,0.264759756033383,0.326624217250991,0.390379732799908,0.466526590405949,0.791841848502083,0.907998142024827,0.742370769854576,0.397148133743377
"Benin",1.29030001125995,1.2905734811189,1.29046289838335,1.28945177718528,1.28592262065636,1.2763369278338,1.26422986781822,1.23777150657942,1.15657452967182
"Burkina Faso",1.02665761672989,1.02680730375137,1.02689663316663,1.02672251729675,1.02546128680034,1.02110898412394,1.01420322867388,0.998032191675671,0.938298867387666
"Bangladesh",1.40952276766609,1.46830323601016,1.56342254725763,1.38038225062771,1.099269294677,0.653240949301522,0.616437911138016,0.540586994410796,0.388525190671491
