"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0.00101718391912679,0.00139286291475097,0.00159487454220653,0.00438908177117507,0.00663149418930213,0.00860494499405225,0.00101718391912679,0.0134032716353734,0.0137130841612816
"Afghanistan",6.5296699768032e-05,8.07965125913343e-05,8.85808223427704e-05,9.42443390855207e-05,0.000110838635874993,0.000197051592378779,6.5296699768032e-05,0.000539052824421469,0.00100015487721787
"Angola",2.98402847868368e-05,3.39815737950336e-05,3.64545991010923e-05,3.9300125870793e-05,5.54693184319347e-05,9.03979875902561e-05,2.98402847868368e-05,0.000475422864219268,0.000820253410495031
"Anguilla",0.000423937766214522,0.000396572505906079,0.000369341606074158,0.000323228596244007,0.00347956512177916,0.00473162159141793,0.000423937766214522,0.0068232578541938,0.00819703963497886
"Albania",0.00045753062390322,0.000702388161941262,0.000844559255081045,0.00104111126600113,0.00163876928672955,0.00292768441520904,0.00045753062390322,0.00613830875004262,0.00913192425353799
"Aland",0.000988422892987728,0.00129658821970224,0.00156107521615922,0.00174224469810724,0.00215695332735777,0.00327075923996745,0.000988422892987728,0.00467758547165431,0.00542383184074424
"Andorra",0.0013216468738392,0.0014852887019515,0.00171024648007005,0.00190324836876243,0.00325970610138029,0.0101797321345657,0.0013216468738392,0.0133362411987036,0.0161492857383564
"United Arab Emirates",6.2114618071739e-05,8.00573652293341e-05,8.75405454168039e-05,9.5223368955032e-05,0.00012295856313077,0.000400238806026578,6.2114618071739e-05,0.00658326921624506,0.0155573663000947
"Argentina",0.000358166951472834,0.000624048339871854,0.000937274279414155,0.00126156193283575,0.00160433843820785,0.00181148753909313,0.000358166951472834,0.00190939910442953,0.00191620060296745
"Armenia",0.000742680778995026,0.00106828936658041,0.00121737714925985,0.00167384363997441,0.00227531694956549,0.00453980906828432,0.000742680778995026,0.00699285580832601,0.00732281969500876
"American Samoa",0.00121349631808698,0.0019534937600838,0.00264507265819702,0.00354760509799235,0.00567559839691967,0.00871472794096917,0.00121349631808698,0.0243245353922248,0.0367669500410557
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0.000221072977637959,0.000278492484540038,0.000266418659066403,0.000350468268152326,0.000581236013204034,0.000804604868790193,0.000221072977637959,0.00090861864919134,0.00117035880066396
"Australia",0.000112077819763318,0.000175453706280282,0.000237968541718576,0.000298368597751433,0.000402304157077969,0.000609136118928738,0.000112077819763318,0.00102347683013166,0.00136336519596242
"Austria",0.00737427296200054,0.00875619503682399,0.00901032439503085,0.00959153013530839,0.010430139434657,0.011457017464624,0.00737427296200054,0.0130206590060752,0.0145641016148743
"Azerbaijan",0.00117288310951874,0.00179339889135886,0.00210351508706888,0.00245371225178603,0.00326678284949719,0.00557683196986608,0.00117288310951874,0.00969343245960772,0.0125973301836114
"Burundi",0.000495228390861224,0.000640211548171311,0.000629314575859212,0.000669067882221825,0.000842689955984985,0.0010467230835737,0.000495228390861224,0.0048439034384428,0.010118419071695
"Belgium",0.0435419169491127,0.0551110661056425,0.0585877229755242,0.0636434790619191,0.0684244946266214,0.0760056744625289,0.0435419169491127,0.0844042084756352,0.0917253928066837
"Benin",0.000150981011320072,0.000173928792786008,0.000220260875925489,0.000273548169129542,0.000375314952887184,0.000866283497155799,0.000150981011320072,0.00366802948546075,0.00578603602626579
"Burkina Faso",0.000208343495357765,0.000252698796668079,0.000274055505177396,0.000292095308433194,0.000355471191009261,0.000438156161721415,0.000208343495357765,0.00143600005121298,0.00364514397406109
"Bangladesh",0.000801248817922298,0.00102328735161676,0.00118279342577673,0.00137515368068611,0.00156958194371335,0.00249268568414553,0.000801248817922298,0.00775060504270909,0.0112862467551388
"Bulgaria",0.000733957258877687,0.00111576100980726,0.0014809446454975,0.00217553857907319,0.00292461352469232,0.00519699858638515,0.000733957258877687,0.00733475838022041,0.00735241367650392
"Bahrain",0.00238853693008423,0.00295204552821815,0.00365349929779768,0.00446114223450422,0.00575207360088825,0.0076734465546906,0.00238853693008423,0.0117705585435033,0.0284938793629408
"The Bahamas",1.60369413845872e-05,2.34095408048138e-05,3.42429326625087e-05,5.00048994772921e-05,8.03732794960716e-05,0.000177107340804421,1.60369413845872e-05,0.000352507038482336,0.000435332762112712
"Bosnia and Herzegovina",0.0015084996078441,0.00237479057485052,0.00306192430701123,0.00348935744854881,0.00349749303556378,0.00388294247905963,0.0015084996078441,0.0062067031003751,0.00826415866778532
"Bajo Nuevo Bank (Petrel Is.)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",0.000616428345777223,0.00101432177176784,0.00120102615742374,0.00141082279486219,0.00175303246649506,0.00293908864081118,0.000616428345777223,0.00577477266235472,0.00618323207421112
"Belize",5.31610690042285e-05,7.35465318319422e-05,9.07196614262472e-05,0.000111207275591424,0.000147629629309725,0.000215409478125293,5.31610690042285e-05,0.000421078921970004,0.000424688326630906
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",5.49471135829478e-05,6.95422511590574e-05,0.00010484432112224,0.000125789885443518,0.000118748719916797,0.000188334024281878,5.49471135829478e-05,0.000621118664318449,0.000917112982090391
"Brazil",0.000281790819111174,0.000446803413347527,0.000742345799088237,0.000914131253341378,0.00135104987757914,0.00180507881646145,0.000281790819111174,0.00248933067300333,0.00366861332406819
