"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0.00148905006547769,0.0015746148613592,0.00158710296576222,0.00381569440166155,0.00420419157793124,0.0040635500724117,0.0040635500724117,0.0040635500724117,0.0040635500724117
"Afghanistan",0.0611750653124557,0.0685291689730225,0.078738174413054,0.0890217687067951,0.103377161953885,0.117583831159564,0.118619288498799,0.114764908239129,0.116845486314937
"Angola",0.00295481147694676,0.00326435086800211,0.00380546887684863,0.00489997060150789,0.00820174049096484,0.00982532927907516,0.00996014849190134,0.00975369722647311,0.0174827417133413
"Anguilla",0.000949691282585263,0.000883272441569716,0.000856786849908531,0.0010709275957197,0.00162742135580629,0.0019569497089833,0.00196351623162627,0.00189084431622177,0.00183035910595208
"Albania",0.0469325770462426,0.0510556055422948,0.0525642996463849,0.054357843159945,0.063503985340726,0.0863936808606496,0.102515267056166,0.101674693161432,0.100748331875217
"Aland",0.0731129851192236,0.0870671086013317,0.095656793564558,0.0968865249305964,0.103656515479088,0.104503575712442,0.0954535305500031,0.0908353012055159,0.0933294203132391
"Andorra",0.0652611330151558,0.0665013737976551,0.0568563055247068,0.048693863209337,0.0588910575956106,0.0597310215234756,0.0608869671821594,0.0598301850259304,0.0601038664579392
"United Arab Emirates",0.000699631869042839,0.000695535788975619,0.000653677693718502,0.000580781856325295,0.000404308660816443,0.000411287978785807,0.00124642271342875,0.00784138502021773,0.00326179748586244
"Argentina",0.00504141449062522,0.0116151211044307,0.0258678926230908,0.0354286017862119,0.0304796566189748,0.0423845904356835,0.0440609483734345,0.0467282317798028,0.0747996169573211
"Armenia",0.108757075996926,0.112729613185645,0.115981979403072,0.14003341876042,0.154259427002846,0.17239831860822,0.170597661913444,0.155191193101928,0.155546259117098
"American Samoa",0.00390542263630778,0.0043383939191699,0.00517260259948671,0.00599430315196514,0.00739951897412539,0.00676537025719881,0.00676536979153752,0.00828757812269032,0.00834508426487446
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0.0243666465394199,0.0205433630617335,0.0149902715347707,0.0141169379930943,0.0144582503126003,0.0140170194790699,0.0164703284972347,0.0159449867787771,0.00315399735700339
"Australia",0.00323035410923408,0.0063078594931015,0.011820557405453,0.0186826955165408,0.0297813896858055,0.0484694289878935,0.054641644057598,0.0569692402403576,0.0580989870777723
"Austria",0.188744039065802,0.193263741042943,0.171706616574039,0.155798065570147,0.139977479113254,0.12724854304897,0.119349403855337,0.111210424872414,0.106404581089289
"Azerbaijan",0.117876048256836,0.132396617400107,0.148538794965836,0.167264350099039,0.20535774850126,0.235790822092958,0.23239625400125,0.21209213791961,0.218815144136395
"Burundi",0.0325027083676747,0.035061676726293,0.0392482360852334,0.0473355757456054,0.071419171660262,0.101779817466569,0.111775248749729,0.116330607191605,0.138427702216979
"Belgium",0.397992483554556,0.401103037627532,0.35006227007594,0.300317572147053,0.235197162004336,0.203141887770182,0.158386730351522,0.187535060351134,0.174052673629448
"Benin",0.0161808983245676,0.0167514296728723,0.0217136311146979,0.0285317101887864,0.0368239996145657,0.0481421447938539,0.0616312230192747,0.0939020352763503,0.121652078921808
"Burkina Faso",0.00375505075941638,0.00401919048925727,0.00443043551809972,0.00518133433671757,0.00719200172646383,0.00820366955272396,0.0114483200409488,0.0151038200294141,0.0218997357339646
"Bangladesh",0.508458562016003,0.514793637890771,0.5232160567575,0.558658527442658,0.575607047751115,0.584720476819118,0.597405539467039,0.572624851825709,0.554527980274623
"Bulgaria",0.146402534110368,0.160975613017482,0.194499841606658,0.260284937887612,0.296980183599799,0.303989589487137,0.280424199012964,0.257254553159153,0.241200129075841
"Bahrain",0.00247463211417198,0.00257521704770625,0.00267669535242021,0.0028677259106189,0.00290479161776602,0.00320702977478504,0.00574047164991498,0.0053651281632483,0.00539976684376597
"The Bahamas",0.000177086668324926,0.000252645936741733,0.000402479395760517,0.000631083822219424,0.00106789956063087,0.00135938531935895,0.00145090691541171,0.00177512579275093,0.00205339508848786
"Bosnia and Herzegovina",0.0676139048958683,0.0768614017819662,0.0910032052425263,0.107441124334203,0.128567367235361,0.13722316804342,0.130639043788466,0.111355699578543,0.111645117695646
"Bajo Nuevo Bank (Petrel Is.)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",0.238953384276029,0.259966075150194,0.279145131855794,0.299359586130787,0.312160157293573,0.306005721657977,0.301698743482376,0.273868309065781,0.244993532731474
"Belize",0.000472592657748313,0.000543380635802447,0.000653934410236574,0.000812519322242665,0.00108107255095657,0.00131191065269597,0.00169352207065417,0.00240577835923003,0.0027694782478868
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",0.00378393635508899,0.00377035053800722,0.00535912268936732,0.00596290928447101,0.00510614828087474,0.00663060064190153,0.00842056299770924,0.0120102757438484,0.0185367016943888
"Brazil",0.00039642448641015,0.00054916078524574,0.00171535474490458,0.0033667797274982,0.00494785560830822,0.00947941555299068,0.0129849510253774,0.0152488396325872,0.0208218343348304
"Barbados",0.012932188808918,0.0132152196019888,0.0135157471522689,0.0137941129505634,0.014439201913774,0.0150468135252595,0.015084782615304,0.0151473423466086,0.0069674807600677
"Brunei",0.00962373360925994,0.0116842755805919,0.0150957166561057,0.0196703757601426,0.0225333067105566,0.0247527879437257,0.0181459320727981,0.0207845980055481,0.0255539663128275
"Bhutan",0.00830063978818066,0.00945671728778368,0.0111819086636449,0.0131642892557173,0.0158414720062865,0.0192804256244865,0.0222381575080424,0.0254518764750944,0.0226665383509545
"Botswana",0.000222365592151146,0.00025248074968706,0.000297770994468881,0.00038040375861992,0.000642274371078175,0.000744139880890305,0.000766203715195329,0.000696689527683748,0.000635007743160498
"Central African Republic",0.00442276135086845,0.00484902716568789,0.00558319154172475,0.00708042978931093,0.0115338819526515,0.0129360301291907,0.013932057712152,0.0142344520187862,0.0124653539211903
"Canada",0.00266589648470441,0.00624428029651227,0.0110186493695894,0.0173531191508416,0.0259004473083122,0.0294598063911754,0.0285146200889724,0.0292204688870234,0.0267851077805468
