"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0.000255729576262335,0.000270424468908459,0.000272569188382477,0.000655307667329907,0.000722028159846862,0.000697874464094639,0.000697874464094639,0.000697874464094639,0.000697874464094639
"Afghanistan",0.00057174685060971,0.00064424043306452,0.000744498571570978,0.000846945035993202,0.0010064981513657,0.0011529608339819,0.0011752070055563,0.00115710808854852,0.00118925759040152
"Angola",0.00114445316967862,0.00127265461014405,0.00146930731718255,0.00184395044318955,0.00307972454353692,0.00368082464015574,0.00371981896052045,0.00363091071459014,0.00649677839152983
"Anguilla",0.000163100063218735,0.000151693282532506,0.000147144644870423,0.000183921190910041,0.000279493484413251,0.000336086697643623,0.000337214441969991,0.000324733759043738,0.000314346019877121
"Albania",0.0247571228490192,0.0271683121100068,0.0281892127395436,0.0293917343001433,0.0347365642498646,0.0477337105845918,0.0570390500052243,0.0568148931108263,0.056486874951848
"Aland",0.000347873610735405,0.000414267691667192,0.000455137662356719,0.000460988769191317,0.000493200568598695,0.000497230910696089,0.000454170542070642,0.000432196880865376,0.000444063960458152
"Andorra",0.00583939757198095,0.0057679190300405,0.00464023710228503,0.00366596448002383,0.00467676264233887,0.00476587535813451,0.00485497452318668,0.00486834039911628,0.00501048341393471
"United Arab Emirates",2.40920087648819e-05,2.3945902599747e-05,2.24302613292869e-05,1.98190608094202e-05,1.35687850248032e-05,1.3413960630573e-05,3.9694333051851e-05,0.000243127893477934,9.91196548824197e-05
"Argentina",0.00385526282615097,0.00869985622500515,0.0191259186607951,0.0260309123180085,0.0223466203454265,0.0308763971430948,0.0319966795633715,0.0338395006003069,0.0533635001663377
"Armenia",0.000659095690655074,0.000667226866146218,0.000672397957224838,0.000773559402100196,0.000827790323595624,0.000906492032859555,0.000886227376423239,0.000799084196422392,0.000783153466237798
"American Samoa",2.99357261610567e-05,3.325452144054e-05,3.96488740079803e-05,4.59473449154757e-05,5.67185670661274e-05,5.18577071488835e-05,5.18577035109047e-05,6.35256892564939e-05,6.39664813206764e-05
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
