"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0.000173064492021998,0.000183009232083956,0.000184460659511387,0.000443478192513188,0.000488631194457412,0.00047228520270437,0.00047228520270437,0.00047228520270437,0.00047228520270437
"Afghanistan",6.3711992153657e-06,7.19262011699037e-06,8.4173307279692e-06,9.75723325446839e-06,1.21340304574154e-05,1.40829125374917e-05,1.42725126320244e-05,1.412214519199e-05,1.45929094964596e-05
"Angola",2.72307056624626e-06,2.79446093108887e-06,3.28833317419716e-06,4.22468999049964e-06,6.58144473109018e-06,7.96449330724496e-06,8.31408740937032e-06,8.24427616300255e-06,1.32069338329281e-05
"Anguilla",0.000110377644887194,0.000102658130344935,9.95798545773141e-05,0.000124468308058567,0.000189146667253226,0.000227446013013832,0.000228209217311814,0.000219762936467305,0.000212733051739633
"Albania",0,0,0,0,0,0,0,0,0
"Aland",0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,0,0,0,0,0,0,0
"Argentina",7.42220888924708e-05,0.000165117625632735,0.000356514169789908,0.000479942581605373,0.000410223006020394,0.000557885510837691,0.000572923659452561,0.000600569728883086,0.000946598899443471
"Armenia",0,0,0,0,0,0,0,0,0
"American Samoa",8.33740505186142e-05,9.26172360777855e-05,0.000110426160972565,0.00012796804367099,0.000157966991537251,0.000144428999192314,0.000144428991916357,0.000176925517735071,0.000178153175511397
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0.00749793907743879,0.00632146424322855,0.00461270472442266,0.00434396835044026,0.00444899483409245,0.00431322191434447,0.00506813780521043,0.00490648316917941,0.000970526696619345
"Australia",2.80108114814006e-05,6.8534210358633e-05,0.00013791818480022,0.000218942726582214,0.000334276035284437,0.000503850989194489,0.000540828001547073,0.00054796888726981,0.000546889370603229
"Austria",0,0,0,0,0,0,0,0,0
"Azerbaijan",1.2950049457341e-05,1.44707086668671e-05,1.60349986078378e-05,1.78997759639029e-05,2.19512054423705e-05,2.54321006399676e-05,2.48218459029008e-05,2.38993985915621e-05,2.62191228102893e-05
