"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0.0291524256269137,0.0283947214484215,0.0279705673456192,0.0170566625893116,0.0115238539874554,0.00867749315996965,0.00707599272330602,0.00387861331303914,0.00356879209478696
"Afghanistan",0.0763444586761192,0.0726944093255663,0.0674762008190676,0.0621747467811075,0.0545295388749489,0.0496699933667893,0.0522210897894559,0.0574766411111094,0.0931032920269283
"Angola",0.0903123223462289,0.0895496104003345,0.0870935993248522,0.0809483635403426,0.0618819845975659,0.0591401700208092,0.0593002056632477,0.0598516781220033,0.0581427088727476
"Anguilla",0.05832439661026,0.0584961227141321,0.0585809219628572,0.0581615967676044,0.0537957116030157,0.051827420014888,0.0504373726435006,0.0498794629238546,0.0486371484585106
"Albania",0.0170820773560174,0.0162709032242395,0.0158514882989076,0.015301750744788,0.0133444529634957,0.011775883750952,0.0149914898662543,0.0156323826130556,0.0252952409185925
"Aland",0.000344437048624968,0.000320188275509281,0.000307716953102499,0.00558587250998244,0.00966342230094597,0.0140098683768883,0.0224328266922385,0.0431584250181913,0.0451575173065066
"Andorra",0.261739003658295,0.287385380268097,0.342551600933075,0.365654593706131,0.341684949398041,0.316823196411133,0.32271745800972,0.351038229465485,0.35544205904007
"United Arab Emirates",0.676532752735099,0.678323003434643,0.679790323542565,0.68044938100982,0.678531979162668,0.674829666147527,0.668059355512108,0.63813816041676,0.651145395851627
"Argentina",0.000758425459738989,0.00109702875027323,0.00154201213024468,0.00177266866810513,0.0082769810032872,0.066560914145854,0.0783224538795437,0.139271012235489,0.130726320567684
"Armenia",0.0160197041472062,0.015905902691884,0.0157833267473437,0.0145116993651475,0.0183764158394367,0.0182742328705409,0.018319279924841,0.0195518506695337,0.0418536105515579
"American Samoa",0.0770137328654528,0.0745638702064753,0.0705778785049915,0.0664303321391344,0.0587529335170984,0.058218153193593,0.0526083111763,0.0365969240665436,0.0239274092018604
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0.0908314934931695,0.0992220067419112,0.112156278453767,0.113735826220363,0.113061161246151,0.111615622416139,0.105119537562132,0.104058230295777,0.128525655949488
"Australia",5.36779472824331e-06,1.31798302293337e-05,2.22793568405569e-05,3.47800026249876e-05,0.000499182220870003,0.00125048780851304,0.00530581576623445,0.0157017953062492,0.0584303751025762
"Austria",0.0189510820224902,0.0181072297045667,0.0276625199991172,0.0355816340017018,0.0490497894620953,0.061506507321237,0.0739742297297105,0.0838184035383165,0.0927320789927856
"Azerbaijan",0.0869918458163738,0.0791084241122007,0.0738823630686464,0.0747967191682807,0.101813299401567,0.107504201914858,0.105926031939653,0.104056564515059,0.105316384161747
"Burundi",0.0925349392654265,0.0920862156678649,0.0934318183537792,0.100657421109431,0.134501287111026,0.127091407118475,0.0729821492328911,0.116224292063099,0.0847707630326862
