"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",254.833862304688,257.607177734375,255.584594726562,260.584594726562,265.584594726562,270.584594726562,275.584594726562,280.584594726562,285.584594726562
"Afghanistan",595.968739874713,609.749071124074,623.610873548658,637.157872423902,650.376778502922,657.82500717023,647.613852434463,574.690184862106,245.565584491421
"Angola",102.539879479665,107.569439413448,112.111183772401,114.778391810092,106.745404759139,92.3150122842389,84.8012975007474,82.478064570741,81.0362397061137
"Anguilla",517.359161376953,523.97119140625,530.828582763672,538.095306396484,544.847839355469,551.296478271484,558.796478271484,565.652313232422,572.926818847656
"Albania",325.290525631029,323.869794417401,320.768209652025,318.793732623665,317.132076380204,303.130827242014,251.855265179459,243.223460041747,200.627091485627
"Aland",526.516662597656,541.516662597656,556.516662597656,34.8359088897705,37.6033840179443,46.9144496917725,31.6337814331055,27.6926603317261,40.3706245422363
"Andorra",176.237847614288,178.317907905579,178.684957504272,184.713836669922,192.814466094971,194.981483459473,197.861589050293,192.328749084473,188.452630615234
"United Arab Emirates",403.054408751812,412.15442995681,422.515784194789,434.185504402082,447.203251160297,461.720476602771,475.291609302009,484.632165023961,468.354589088676
"Argentina",119.207478485243,117.111616825145,118.158319040496,120.892308788722,64.3314495272326,32.4969140443527,26.9471682690219,25.3274614336667,32.1485211842277
"Armenia",391.944305126484,403.594628260686,416.095129453219,429.799149439885,416.85075371082,428.043169315045,438.424055979802,412.835267140315,134.819029624646
"American Samoa",925.402954101562,930.505401611328,944.417114257812,959.417114257812,948.822296142578,927.434814453125,942.434814453125,957.434814453125,967.846466064453
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",1,1,1,1,1,1,1,1,1
"Antigua and Barbuda",690.604141235352,648.828994750977,590.776794433594,596.449722290039,605.233596801758,611.100517272949,626.035316467285,622.318450927734,508.741172790527
"Australia",5.58971264392583,6.22994352736361,7.03165747944734,8.36748955179853,9.31334237833986,10.7652053244899,10.4384729715588,13.2769688840648,15.1043643704181
"Austria",159.692852956362,157.088191643739,104.684946453724,87.9950119776604,75.1181552731074,68.1013341324452,61.7723445349779,58.2541244908785,53.8766899964748
"Azerbaijan",291.837576451795,303.926089740622,314.000421905518,305.771977286503,227.615871166361,225.602576841157,236.166260528564,239.481745858028,245.992600539635
"Burundi",11.328279579387,11.4727312817293,11.4942429766935,11.0732583158156,10.1953524841982,3.55807846784592,2.03002622898887,1.77742446871365,1.83568662054398
"Belgium",10.4476834308533,10.9148001746526,12.04460885222,5.20438088311089,5.72783139773778,10.6687844632164,14.3111774296988,13.7920208034061,10.7206336581518
